intent,text
Price_info,What is the price range of HP pavillion laptops?
Price_info,What is the cost of ASUS TUF Gaming A17 Ryzen laptop?
Price_info,What is the price of acer Aspire 7 ryzen 5?
Price_info,What is the price range of dell Laptops?
Price_info,How much does a MSI Bravo Ryzen 5 cost?
Price_info,How much does a MSI GF63 laptop cost?
Price_info,What is the price of Lenovo IdeaPad?
Price_info,How much does a 17 inch gaming laptop cost?
Price_info,What is the price of HP OMEN laptop?
Price_info,What is the price range of ASUS Laptops?
Price_info,What is price range of HP laptops?
Price_info,Show me the price tag of ASUS ROG flow X13 laptop
Price_info,What is the price of HP Omen with Ryzen 7 processor?
Price_info,What is the price of HP Omen with intel i7 processor?
Price_info,What price do you offer for MSI Alpha 15 Ryzen 7?
Price_info,At what price can I get DELL Inspiron 5518?
Price_info,What is the cost of MSI GF65  laptop?
Price_info,What is the cost of Dell i5 11th gen?
Price_info,What is the price range of MSI Laptops?
Price_info,What is the price range of acer Laptops?
Specs_info,What is the screen size of acer Nitro 5 Ryzen 7 ?
Specs_info,In which colour is Lenovo IdeaPad Gaming 3 available?
Specs_info,What is the size of DELL Inspiron 15 7000 laptop?
Specs_info,How big is the screen of acer Predator Helios 300?
Specs_info,what is the range of the screen size of MSI laptops ?
Specs_info,What is the colour of HP OMEN laptop?
Specs_info,What all colours are there in HP laptops?
Specs_info,What is the colour of ASUS Vivobook?
Specs_info,In which color is ASUS ROG Flow X13 Ryzen 7 available?
Specs_info,What all colors are there in MSI laptops?
Specs_info,What are the colors that are there in DELL laptops?
Specs_info,What are the processor variants in HP Omen?
Specs_info,How much ram is in asus rog tuf?
Specs_info,What is the ram in acer predator?
Specs_info,What is the size of ASUS Vivobook?
Specs_info,What is the graphic card in HP OMEN laptop?
Specs_info,What is the graphic card that is present  in acer Predator Helios 300 laptop?
Specs_info,What is the color of HP 430 G8 Core i5 11th Gen?
Specs_info,What is the screen size of MSI Katana GF66 Core i7 11th Gen?
Specs_info,Is the screen size of ASUS TUF Gaming F17 Core i7 11th Gen bigger than 16 inches?
yes,yes
yes,uh-huh
yes,"correct, that's true"
yes,"yes, that's correct"
yes,yeah
yes,yeap
yes,ok
yes,sure thing
yes,yes you are right
yes,yes you are
yes,yes i do like that
yes,yes that is correct
yes,yes i am
yes,i think it's true
yes,that would be yes
yes,that would be true
yes,i believe that's true
yes,uh huh
yes,"yep, that's true"
yes,"yes, that is actually true"
yes,"yes, that's it"
yes,"yes, that is right"
yes,its a for sure true
yes,yes sir
yes,absolutely!
yes,do that
yes,absolutely correct
yes,dat be true yea
yes,yes maam
yes,yes dorami
yes,"yeah, that is what I am looking for"
yes,"yes, this is it"
yes,okay
yes,Mhmm
yes,Indeed
yes,Of course
Comparison_info,Are dell gaming laptops better than HP ones?
Comparison_info,Are there any silver dell or HP laptops available?
Comparison_info,Is MSI Katana GF66 a better laptop than Lenovo IdeaPad Gaming?
Comparison_info,Is acer Predator Helios 300 cheaper than MSI GP66 Leopard?
Comparison_info,Is ASUS TUF Gaming F17 a bigger laptop than acer Aspire 7 in terms of screen size?
Comparison_info,Is acer Nitro 5 Ryzen 7 heavier than MSI Bravo Ryzen 5 ?
Comparison_info,Is the HP Omen Ryzen 7 laptop superior to the MSI Pulse GL66 laptop?
Comparison_info,Is the MSI GF65 Laptop Thin less expensive than the ASUS Vivobook Gaming Laptop?
Comparison_info,Is the screen size of the HP OMEN Core i7 11th Gen larger than that of the ASUS ROG Flow X13 Ryzen 7?
Comparison_info,"When compared to MSI GF65 Thin, is DELL G15 Ryzen 5 heavier?"
Comparison_info,Lenovo ideapad vs acer nitro
Comparison_info,DELL Inspiron vs legion
Comparison_info,ASUS Rog vs tuf
Comparison_info,"Which is more heavy, acer aspire 7 or DELL pavilion laptop?"
Comparison_info,which one should I buy lenovo ideapad or Legion Y540 ?
Comparison_info,"which laptop is better, DELL G15 Ryzen 5 or acer Aspire 7 Ryzen 5? "
Comparison_info,HP OMEN Core i7 11th Gen vs MSI Alpha 15 Ryzen 7 Octa Core 5800H?
Comparison_info,Does HP Pavilion laptops have more screen size than asus rog flow?
Comparison_info,MSI GP66 vs HP Omen Ryzen 7?
Buy_info,Show me a laptop
Buy_info,I want an HP laptop
Buy_info,Show me the latest Lenovo laptop
Buy_info,What is a good black coloured DELL laptop?
Buy_info,Show me HP Omen laptop
Buy_info,Show me a ASUS laptopo below rs 100000
Buy_info,MSI Katana black colour
Buy_info,Show me MSI Bravo Ryzen 5
Buy_info,ASUS Vivobook
Buy_info,Whats a good ASUS laptop between 60000 - 90000
Buy_info,Show me a 15 inch laptop
Buy_info,I want a office use laptop with Microsoft office
Buy_info,I want a gaming laptop
Buy_info,Show me a good gaming laptop below Rs 1 lakh
Buy_info,Show me a good MSI laptop
Buy_info,I want to purchase the ASUS TUF Gaming F17
Buy_info,I want the Acer Predator Helios
Buy_info,Show me a good core i5 laptop
Buy_info,Show me a good core i7 laptop
Buy_info,I want a 16gb ram HP laptop
Buy_info,I want a 8gb ram laptop
Buy_info,Show me HP Pavillion and Acer Aspire
Buy_info,I want to buy a laptop having 1TB memory
Buy_info,I wanna purchase a good laptop below 50000
Buy_info,Show me a silver coloured laptop below 50000
Buy_info,MSI Pulse laptop having 16gb ram and windows 10
Buy_info,"MSI Pulse GL66 Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA GeForce RTX 3070) Pulse GL66 11UGK-431IN Gaming Laptop (15.6 Inch, Gray, 2.25 kg)"
Buy_info,Find me an acer laptop that I can use to play games
Buy_info,I want a ASUS ROG laptop of price around 100000
Buy_info,DELL G15 laptop
Buy_info,I want to purchase a light laptop
Buy_info,Surprise me
Buy_info,I want to buy a HP laptop.
Buy_info,Show me MSI and DELL laptops.
Buy_info,I need a good gaming laptop with a price of around Rs 70000
Buy_info,Show me a good business laptop
Buy_info,I want a laptop that can do office work
Buy_info,What are some latest laptops below Rs. 1 lakh?
Buy_info,Show me a gaming laptop with 16 gb ram
no,No I don't want that
no,No
no,nope
no,That is not what I am looking for
no,not at all
no,Not right
no,Nope
no,Neither
no,Nothing interests me
no,Na
no,Not interested
no,Nah
no,Doesn't work
no,I don't like it
no,Anything
no,anything's fine
no,Anything's good
no,Any
no,Anyone
no,Anything works
similar_product,Show me something similar
similar_product,Show me something similar to the product u just showed
similar_product,can I see something similar to this?
similar_product,Please show me other laptops in the same price range
similar_product,Something similar to the hp omen
similar_product,Can you show me another laptop in similar specifications?
similar_product,Can you show me similar options.
similar_product,I want similar options
similar_product,Show me a similar product.
similar_product,I want products with similar specs.
Greetings,yo
Greetings,Hello
Greetings,Hewwo
Greetings,Hi
Greetings,Hello Dorami
Greetings,Namaste
Greetings,Good morning
Greetings,Good afternoon
Greetings,Good evening
Greetings,What's up?
Greetings,"Hi, nice to meet you."
Greetings,Greetings!
Greetings,How do you do?
Greetings,Sup?
Greetings,Konnichiwa
Greetings,Hajime mashite
Greetings,hii
Greetings,How are you doing?
Greetings,Hi!
Greetings,How are you?
Greetings,Is anyone there?
Greetings,Whats up
Greetings,Hey
Greetings,Heylo
Greetings,Ohayou
Greetings,Heyaaaa
Bye,Bye
Bye,Ok see ya
Bye,ok bye
Bye,bye bye
Bye,"Thanks, bye"
Bye,Thank you for helping
Bye,Byee
Bye,Arigato Gosaimasu
Bye,Thanks for the help
Bye,See you
Bye,Okay thanks
Bye,Thank you so much
Bye,Thank you
Bye,Bye
Bye,Cya
Bye,Okay thank you for helping
Bye,Thank you for answering
Bye,Okay
Bye,Baaye
Bye,Cyou
Bye,Sayonara
Q_A,How to take care of my laptop?
Q_A,What is a chromebook?
Q_A,What are the different kinds of laptop?
no,"No, this is not what I am looking for."
no,"No, I dont want this."
no,"No, I dont like this product."
Greetings,Ohaio Gosaimasu
Greetings,"hello ,how are you"
Greetings,"Hey, whats up "
Bye,Bye catch you later.
Bye,bye bye thanks for the help.
Bye,"Okay I am done, see you later."